#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
1210.01	21.8703
1211.11	21.2474
1212.21	22.4211
1213.31	22.5573
1214.4	22.7869
1215.5	22.0983
1216.6	28.2029
1217.7	25.6558
1218.79	23.7381
1219.89	19.954
1220.99	21.7705
1222.08	21.986
1223.18	23.7219
1224.28	24.401
1225.37	25.1903
1226.47	26.3626
1227.56	23.0361
1228.66	23.3269
1229.76	18.9956
1230.85	24.954
1231.95	23.3546
1233.04	21.6893
1234.14	25.566
1235.23	23.7343
1236.32	22.2898
1237.42	23.2574
1238.51	23.2429
1239.61	23.5295
1240.7	22.0555
1241.79	22.3795
1242.89	22.6458
1243.98	23.9919
1245.07	24.1906
1246.17	25.9739
1247.26	22.5707
1248.35	24.0583
1249.44	26.1034
1250.53	25.2789
1251.63	23.8788
1252.72	26.2666
1253.81	26.6772
1254.9	25.0362
1255.99	24.0762
1257.08	25.3252
1258.17	25.5
1259.27	27.0104
1260.36	24.5077
1261.45	24.9029
1262.54	24.8338
1263.63	28.5219
1264.72	24.4455
1265.81	25.2217
1266.89	25.9
1267.98	26.0293
1269.07	25.2942
1270.16	25.0953
1271.25	21.7112
1272.34	22.597
1273.43	24.3865
1274.52	24.8568
1275.6	24.4466
1276.69	25.5901
1277.78	23.6
1278.87	23.1696
1279.95	22.6885
1281.04	22.5674
1282.13	24.9802
1283.22	24.3104
1284.3	23.3085
1285.39	23.8283
1286.48	25.6174
1287.56	23.4011
1288.65	21.9005
1289.73	21.9509
1290.82	23.2743
1291.9	26.7071
1292.99	25.5909
1294.07	24.2475
1295.16	25.3185
1296.24	23.3296
1297.33	23.7356
1298.41	23.4603
1299.5	23.9901
1300.58	24.0556
1301.66	24.6252
1302.75	23.1362
1303.83	21.4203
1304.91	23.5528
1306	25.6095
1306.4	26
1307.48	25.5
1308.57	25
1309.66	24.5
1310.75	24.5
1311.84	19.5
1312.92	24.5
1314.01	25.5
1315.1	27
1316.18	24
1317.27	22
1318.36	24.5
1319.44	31.5
1320.53	23.5
1321.62	22.5
1322.7	23.5
1323.79	23
1324.87	22.5
1325.96	23.5
1327.04	25.5
1328.13	21.5
1329.21	21
1330.3	26
1331.38	19
1332.47	23
1333.55	21
1334.64	23.5
1335.72	25
1336.8	24
1337.89	21.5
1338.97	30.5
1340.05	29
1341.14	20
1342.22	24.5
1343.3	29
1344.38	25
1345.47	22
1346.55	25
1347.63	20.5
1348.71	27
1349.79	25.5
1350.87	27
1351.96	26
1353.04	22
1354.12	24.5
1355.2	23.5
1356.28	21
1357.36	23.5
1358.44	27.5
1359.52	24
1360.6	24
1361.68	24.5
1362.76	24.5
1363.84	25.5
1364.92	26
1366	23.5
1367.07	24.5
1368.15	20
1369.23	29.5
1370.31	24
1371.39	24.5
1372.47	23.5
1373.54	24
1374.62	21
1375.7	24.5
1376.78	23
1377.85	27.5
1378.93	23
1380.01	26
1381.08	25.5
1382.16	27.5
1383.24	26.5
1384.31	30
1385.39	25
1386.46	26.5
1387.54	25
1388.61	24.5
1389.69	25
1390.76	25
1391.84	24.5
1392.91	23.5
1393.99	25
1395.06	29
1396.14	26
1397.21	25.5
1398.29	30.5
1399.36	27
1400.43	27
1401.51	25.5
1402.58	28
1403.65	29.5
1404.72	28
1405.8	32
1406.87	31
1407.94	27
1409.02	30.5
1410.09	31
1411.16	28.5
1412.23	24
1413.3	32.5
1414.37	32
1415.44	30.5
1416.51	30
1417.59	31.5
1418.66	26.5
1419.73	28.5
1420.8	27.5
