#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	smp
#Site=	01-05-25
#Title=	A2_m05
#Remark=	smp5
#Date=	01.04.2025 14:03
#Acquired=	01.04.2025 14:03:44
1579.32	28
1580.37	30
1581.41	31.3333
1582.46	30
1583.5	27.3333
1584.55	29.3333
1585.59	30.6667
1586.63	32
1587.68	28.6667
1588.72	27.3333
1589.76	24.6667
1590.81	33.3333
1591.85	34
1592.89	30.6667
1593.94	32.6667
1594.98	22.6667
1596.02	30
1597.07	29.3333
1598.11	28.6667
1599.15	27.3333
1600.19	32.6667
1601.23	28.6667
1602.28	30
1603.32	25.3333
1604.36	30.6667
1605.4	28
1606.44	31.3333
1607.48	28.6667
1608.52	28.6667
1609.56	25.3333
1610.6	29.3333
1611.64	26.6667
1612.68	26.6667
1613.72	23.3333
1614.76	27.3333
1615.8	28
1616.84	27.3333
1617.88	27.3333
1618.92	24
1619.96	29.3333
1621	29.3333
1622.04	30
1623.08	30.6667
1624.11	25.3333
1625.15	24
1626.19	26.6667
1627.23	28
1628.27	30
1629.3	32.6667
1630.34	27.3333
1631.38	25.3333
1632.41	28.6667
1633.45	30
1634.49	26
1635.52	29.3333
1636.56	28
1637.6	32.6667
1638.63	30
1639.67	25.3333
1640.7	34.6667
1641.74	32.6667
1642.77	26
1643.81	33.3333
1644.84	33.3333
1645.88	30.6667
1646.91	32.6667
1647.95	30
1648.98	22.6667
1650.02	30
1651.05	31.3333
1652.09	28.6667
1653.12	30
1654.15	28.6667
1655.19	32
1656.22	28
1657.25	30
1658.29	29.3333
1659.32	25.3333
1660.35	26.6667
1661.38	27.3333
1662.42	26
1663.45	28
1664.48	26.6667
1665.51	26.6667
1666.54	24.6667
1667.57	30
1668.61	26.6667
1669.64	29.3333
1670.67	31.3333
1671.7	28.6667
1672.73	26.6667
1673.76	32
1674.79	29.3333
1675.82	29.3333
1676.85	32
1677.88	24.6667
1678.91	24
1679.94	31.3333
1680.97	31.3333
1682	26
1683.03	25.3333
1684.06	30
1685.08	28.6667
1686.11	27.3333
1687.14	28.6667
1688.17	32.6667
1689.2	24
1690.23	30.6667
1691.25	25.3333
1692.28	26
1693.31	31.3333
1694.34	28
1695.36	26
1696.39	32.6667
1697.42	28.6667
1698.44	22.6667
1699.47	32.6667
1700.5	28.6667
1701.52	30
1702.55	27.3333
1703.57	26
1704.6	33.3333
1705.63	30
1706.65	29.3333
1707.68	22.6667
1708.7	25.3333
1709.73	28
1710.75	28
1711.78	30
1712.8	25.3333
1713.82	34
1714.85	24.6667
1715.87	25.3333
1716.9	30.6667
1717.92	30.6667
1718.94	26.6667
1719.97	30
1720.99	26
1722.01	26.6667
1723.04	26.6667
1724.06	27.3333
1725.08	24.6667
1726.1	28.6667
1727.12	25.3333
1728.15	29.3333
1729.17	26
1730.19	27.3333
1731.21	28.6667
1732.23	28
1733.26	26.6667
1734.28	32
1735.3	26.6667
1736.32	24.6667
1737.34	28
1738.36	28
1739.38	24.6667
1740.4	24.6667
1741.42	30
1742.44	27.3333
1743.46	27.3333
1744.48	30
1745.5	25.3333
1746.52	28.6667
1747.54	28
1748.55	29.3333
1749.57	26
1750.59	29.3333
1751.61	26.6667
1752.63	26.6667
1753.65	28
1754.66	28
1755.68	30.6667
1756.7	28.6667
1757.72	28
1758.73	26
1759.75	30
1760.77	23.3333
1761.78	29.3333
1762.8	28.6667
1763.82	23.3333
1764.83	28
1765.85	32
1766.87	29.3333
1767.88	29.3333
1768.9	26
1769.91	26.6667
1770.93	28.6667
1771.94	29.3333
1772.96	31.3333
1773.97	27.3333
1774.99	28
1776	28.6667
1777.02	27.3333
1778.03	28.6667
1779.05	27.3333
1780.06	30
1781.07	28
1782.09	29.3333
1783.1	22.6667
1784.11	24
1785.13	23.3333
1786.14	30.6667
1787.15	26.6667
1788.17	28
1789.18	29.3333
1790.19	23.3333
1791.2	26
1792.22	26.6667
1793.23	27.3333
1794.24	30.6667
1795.25	32
1796.26	24.6667
1797.27	26
1798.28	25.3333
1799.29	27.3333
1800.31	28.6667
1801.32	24.6667
1802.33	27.3333
1803.34	26
1804.35	25.3333
1805.36	29.3333
1806.37	26
1807.38	30
1808.39	32
1809.4	29.3333
1810.4	26.6667
1811.41	29.3333
1812.42	28.6667
1813.43	30.6667
1814.44	23.3333
1815.45	28
1816.46	32.6667
1817.47	32
1818.47	31.3333
1819.48	30.6667
1820.49	26.6667
1821.5	24
1822.5	20
1823.51	30.6667
1824.52	27.3333
1825.52	28.6667
1826.53	30.6667
1827.54	29.3333
1828.54	25.3333
1829.55	22
1830.56	29.3333
1831.56	26
1832.57	24
1833.57	26
1834.58	29.3333
1835.58	25.3333
1836.59	27.3333
1837.6	24.6667
1838.6	28
1839.61	26.6667
1840.61	24.6667
1841.61	27.3333
1842.62	28
1843.62	28.6667
1844.63	24.6667
1845.63	27.3333
1846.63	27.3333
1847.64	27.3333
1848.64	26
1849.64	29.3333
1850.65	28.6667
1851.65	29.3333
1852.65	27.3333
1853.65	25.3333
1854.66	27.3333
